county,make,model_year,vehicle_count
Clark,MERCEDES-BENZ,2018,18
Clark,MERCEDES-BENZ,2019,51
Clark,MERCEDES-BENZ,2020,3
Clark,MINI,2018,5
Clark,MINI,2019,13
Clark,MINI,2021,21
Clark,MITSUBISHI,2012,53
Clark,MITSUBISHI,2014,14
Clark,MITSUBISHI,2017,6
Clark,MITSUBISHI,2018,83
Clark,MITSUBISHI,2019,25
Clark,MITSUBISHI,2020,8
Clark,NISSAN,2011,559
Clark,NISSAN,2012,714
Clark,NISSAN,2013,1692
Clark,NISSAN,2014,336
Clark,NISSAN,2015,915
Clark,NISSAN,2016,452
Clark,NISSAN,2017,206
Clark,NISSAN,2018,240
Clark,NISSAN,2019,162
Clark,NISSAN,2020,72
Clark,NISSAN,2021,24
Clark,POLESTAR,2021,2
Clark,PORSCHE,2014,6
Clark,PORSCHE,2015,19
Clark,PORSCHE,2016,20
Clark,PORSCHE,2017,18
Clark,PORSCHE,2018,15
Clark,PORSCHE,2019,6
Clark,PORSCHE,2020,22
Clark,PORSCHE,2021,2
Clark,SMART,2013,23
Clark,SMART,2014,98
Clark,SMART,2015,58
Clark,SMART,2016,9
Clark,SMART,2017,26
Clark,SMART,2018,14
Clark,SUBARU,2019,6
Clark,TESLA,2010,16
Clark,TESLA,2012,47
Clark,TESLA,2013,386
Clark,TESLA,2014,261
Clark,TESLA,2015,418
Clark,TESLA,2016,548
Clark,TESLA,2017,491
Clark,TESLA,2018,1607
Clark,TESLA,2019,832
Clark,TESLA,2020,848
Clark,TESLA,2021,515
Clark,TH!NK,2011,17
Clark,TOYOTA,2012,294
Clark,TOYOTA,2013,136
Clark,TOYOTA,2014,59
Clark,TOYOTA,2015,31
Clark,TOYOTA,2017,364
Clark,TOYOTA,2018,142
Clark,TOYOTA,2019,57
Clark,TOYOTA,2020,93
Clark,TOYOTA,2021,83
Clark,VOLKSWAGEN,2015,62
Clark,VOLKSWAGEN,2016,135
Clark,VOLKSWAGEN,2017,19
Clark,VOLKSWAGEN,2019,61
Clark,VOLKSWAGEN,2021,8
Clark,VOLVO,2016,16
Clark,VOLVO,2017,35
Clark,VOLVO,2018,36
Clark,VOLVO,2019,21
Clark,VOLVO,2021,2
Island,AUDI,2016,7
Island,AUDI,2017,16
Island,AUDI,2018,6
Island,AUDI,2019,9
Island,AUDI,2020,2
Island,AUDI,2021,6
Island,BMW,2014,28
Island,BMW,2015,37
Island,BMW,2016,16
Island,BMW,2017,24
Island,BMW,2018,30
Island,BMW,2019,4
Island,BMW,2020,4
Island,BMW,2021,2
Island,CADILLAC,2014,9
Island,CADILLAC,2016,6
Island,CHEVROLET,2011,7
Island,CHEVROLET,2012,140
Island,CHEVROLET,2013,186
Island,CHEVROLET,2014,144
Island,CHEVROLET,2015,47
Island,CHEVROLET,2016,21
Island,CHEVROLET,2017,264
Island,CHEVROLET,2018,116
Island,CHEVROLET,2019,89
Island,CHEVROLET,2020,50
Island,CHEVROLET,2021,12
Island,CHRYSLER,2017,5
Island,CHRYSLER,2018,26
Island,CHRYSLER,2020,4
Island,CHRYSLER,2021,2
Island,FIAT,2013,9
Island,FIAT,2014,15
Island,FIAT,2015,10
Island,FIAT,2016,6
Island,FIAT,2017,5
Island,FORD,2000,6
Island,FORD,2013,135
Island,FORD,2014,157
Island,FORD,2015,90
Island,FORD,2016,89
Island,FORD,2017,66
Island,FORD,2018,11
Island,FORD,2019,7
Island,FORD,2020,2
Island,FORD,2021,6
Island,HONDA,2014,4
Island,HONDA,2018,23
Island,HONDA,2019,2
Island,HONDA,2020,5
Island,HONDA,2021,2
Island,HYUNDAI,2016,69
Island,HYUNDAI,2018,3
Island,HYUNDAI,2019,3
Island,HYUNDAI,2020,17
Island,HYUNDAI,2021,8
Island,JAGUAR,2019,7
Island,JAGUAR,2020,2
Island,JEEP,2021,2
Island,KIA,2016,44
Island,KIA,2017,111
Island,KIA,2018,18
Island,KIA,2019,68
Island,KIA,2020,19
Island,MERCEDES-BENZ,2015,4
Island,MERCEDES-BENZ,2016,7
Island,MERCEDES-BENZ,2017,3
Island,MERCEDES-BENZ,2018,4
Island,MINI,2019,2
