county,make,quartile,model_year,vehicle_count
Benton,MITSUBISHI,1,2014,5
Benton,MITSUBISHI,1,2018,7
Benton,MITSUBISHI,1,2019,3
Benton,MITSUBISHI,2,2012,6
Benton,MITSUBISHI,2,2014,3
Benton,MITSUBISHI,3,2014,8
Benton,MITSUBISHI,3,2016,4
Benton,MITSUBISHI,3,2018,2
Benton,MITSUBISHI,4,2016,2
Benton,MITSUBISHI,4,2018,7
Benton,MITSUBISHI,4,2019,5
Benton,MITSUBISHI,4,2020,6
Benton,NISSAN,1,2011,52
Benton,NISSAN,1,2012,54
Benton,NISSAN,1,2013,49
Benton,NISSAN,1,2014,14
Benton,NISSAN,1,2015,28
Benton,NISSAN,1,2016,24
Benton,NISSAN,1,2017,1
Benton,NISSAN,1,2018,12
Benton,NISSAN,1,2019,6
Benton,NISSAN,1,2020,2
Benton,NISSAN,2,2011,50
Benton,NISSAN,2,2012,37
Benton,NISSAN,2,2013,59
Benton,NISSAN,2,2014,15
Benton,NISSAN,2,2015,20
Benton,NISSAN,2,2016,32
Benton,NISSAN,2,2017,1
Benton,NISSAN,2,2018,24
Benton,NISSAN,2,2019,5
Benton,NISSAN,2,2020,4
Benton,NISSAN,3,2011,43
Benton,NISSAN,3,2012,66
Benton,NISSAN,3,2013,77
Benton,NISSAN,3,2014,18
Benton,NISSAN,3,2015,39
Benton,NISSAN,3,2016,22
Benton,NISSAN,3,2017,18
Benton,NISSAN,3,2018,4
Benton,NISSAN,3,2019,2
Benton,NISSAN,3,2020,2
Benton,NISSAN,4,2011,32
Benton,NISSAN,4,2012,50
Benton,NISSAN,4,2013,41
Benton,NISSAN,4,2014,43
Benton,NISSAN,4,2015,40
Benton,NISSAN,4,2016,16
Benton,NISSAN,4,2017,6
Benton,NISSAN,4,2018,5
Benton,NISSAN,4,2019,7
Benton,NISSAN,4,2020,2
Benton,PORSCHE,1,2016,6
Benton,PORSCHE,2,2018,2
Benton,PORSCHE,3,2020,2
Benton,PORSCHE,4,2019,2
Benton,SMART,1,2013,4
Benton,SMART,1,2014,1
Benton,SMART,2,2013,2
Benton,SMART,2,2014,2
Benton,SMART,3,2013,4
Benton,SUBARU,1,2019,2
Benton,SUBARU,2,2019,8
Benton,SUBARU,4,2019,1
Benton,TESLA,1,2010,4
Benton,TESLA,1,2012,3
Benton,TESLA,1,2013,4
Benton,TESLA,1,2014,11
Benton,TESLA,1,2015,20
Benton,TESLA,1,2016,18
Benton,TESLA,1,2017,16
Benton,TESLA,1,2018,66
Benton,TESLA,1,2019,15
Benton,TESLA,1,2020,54
Benton,TESLA,1,2021,30
Benton,TESLA,2,2013,39
Benton,TESLA,2,2014,23
Benton,TESLA,2,2015,40
Benton,TESLA,2,2016,9
Benton,TESLA,2,2017,15
Benton,TESLA,2,2018,54
Benton,TESLA,2,2019,42
Benton,TESLA,2,2020,37
Benton,TESLA,2,2021,40
Benton,TESLA,3,2012,6
Benton,TESLA,3,2013,5
Benton,TESLA,3,2014,18
Benton,TESLA,3,2015,11
Benton,TESLA,3,2016,13
Benton,TESLA,3,2017,20
Benton,TESLA,3,2018,50
Benton,TESLA,3,2019,61
Benton,TESLA,3,2020,54
Benton,TESLA,4,2012,9
Benton,TESLA,4,2014,17
Benton,TESLA,4,2015,8
Benton,TESLA,4,2016,21
Benton,TESLA,4,2017,12
Benton,TESLA,4,2018,120
Benton,TESLA,4,2019,45
Benton,TESLA,4,2020,69
Benton,TESLA,4,2021,20
Benton,TOYOTA,1,2012,11
